task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Optimisation step #14,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.002463548444211483,9.717183639974535e-10,4.001989339172126e-07,360.0,0.0,10.0,2.4017179384828264e-07,0.0,6.622909050848718e-09,2.467947028991335e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #15,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.01388860959559679,4.087577009403473e-09,2.956237201646756e-07,360.0,0.0,10.0,1.0101760737597852e-06,0.0,2.7976945663492024e-08,1.0381530194232763e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #15,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020798038691282272,8.391745233944585e-09,4.058241981294875e-07,360.0,0.0,10.0,2.073792833834885e-06,0.0,5.7522523113422736e-08,2.1313153569483157e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #15,2026-02-21T23:33:09,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.002471199259161949,9.699920872893513e-10,4.002000664251946e-07,360.0,0.0,10.0,2.3974366486072566e-07,0.0,6.612602414356494e-09,2.463562672750915e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #16,2026-02-21T23:33:10,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.014478619210422039,1.0769916848988107e-08,7.480762263110097e-07,360.0,608.636057905852,10.0,1.0055349208414489e-06,1.7019458020683942e-06,2.783696529351991e-08,2.735317688203374e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #16,2026-02-21T23:33:10,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020769868977367878,8.382943327153408e-09,4.065974105753131e-07,360.0,0.0,10.0,2.0716067403554956e-06,0.0,5.74731293858753e-08,2.1290798697413743e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #16,2026-02-21T23:33:10,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.002398878335952759,9.476614967364938e-10,4.0383144504731985e-07,360.0,0.0,10.0,2.342266961932282e-07,0.0,6.458101173241756e-09,2.406847973664746e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Forward pass #17,2026-02-21T23:33:10,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.014194973744452,4.291285697693783e-09,3.036605029290857e-07,360.0,0.0,10.0,1.0605068877339282e-06,0.0,2.9383576475083645e-08,1.0898904642090042e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Backward pass #17,2026-02-21T23:33:10,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.020732508040964603,8.377516081699572e-09,4.0645028263780825e-07,360.0,0.0,10.0,2.070265728980309e-06,0.0,5.7435741958519026e-08,2.1277014709388323e-06,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
Optimisation step #17,2026-02-21T23:33:10,whisper,4b80ea1d-de4c-4708-b5c6-595baae7d4d6,0.00250994972884655,9.706190640306187e-10,3.9824540420732006e-07,360.0,0.0,10.0,2.398998476564802e-07,0.0,6.615657669802749e-09,2.4651550532627615e-07,0.0,Canada,CAN,quebec,,,Linux-5.15.0-144-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9474F 48-Core Processor,1,1 x NVIDIA RTX 5000 Ada Generation,,,4,machine,N
